# --- Attack Parameters ---
# {
#     "attack_type": "bandit",
#     "executable": "./resources/execution_files/liveness_Vit_mnn",
#     "image": "/model_deploy_execution_attack/resources/filtered_images/n002113-0105_01.jpg",
#     "hooks": "/model_deploy_execution_attack/hook_config/liveness_Vit_mnn_hook_config.json",
#     "model": null,
#     "models": "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn",
#     "iterations": 150,
#     "l_inf_norm": 20.0,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.001,
#     "enable_stagnation_decay": true,
#     "learning_rate": 20.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_dynamic_focus": false,
#     "evaluation_window": 10,
#     "boost_weight": 10.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/model_deploy_execution_attack/attack_results/liveness_Vit_mnn_bandit_n002113-0105_01_20250911-032017",
#     "fd_eta": 0.1,
#     "prior_exploration": 0.1,
#     "prior_size": 32,
#     "prior_lr": 0.1,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "model_paths": [
#         "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,4,0.444472,0.107081,20.000000,False,0,1,static,"N/A","",3.58,5.22
2,7,0.415708,0.107081,20.000000,False,0,1,static,"N/A","",3.59,8.83
3,10,0.449606,0.107081,20.000000,False,0,1,static,"N/A","",3.58,12.42
4,13,0.398802,0.107081,20.000000,False,0,1,static,"N/A","",3.56,15.99
5,16,0.428152,0.107081,20.000000,False,0,1,static,"N/A","",3.57,19.57
6,19,0.369765,0.107081,20.000000,False,0,1,static,"N/A","",3.55,23.13
7,22,0.378449,0.107081,20.000000,False,0,1,static,"N/A","",3.56,26.70
8,25,0.359015,0.107081,20.000000,False,0,1,static,"N/A","",3.56,30.27
9,28,0.348782,0.107081,20.000000,False,0,1,static,"N/A","",3.57,33.85
10,31,0.324263,0.107081,20.000000,False,0,1,static,"N/A","",3.55,37.42
11,34,0.318141,0.107081,20.000000,False,0,1,static,"N/A","",3.57,41.00
12,37,0.293270,0.107081,20.000000,False,0,1,static,"N/A","",3.58,44.59
13,40,0.322362,0.107081,20.000000,False,0,1,static,"N/A","",3.57,48.16
14,43,0.296646,0.107081,20.000000,False,0,1,static,"N/A","",3.56,51.73
15,46,0.325208,0.107081,20.000000,False,0,1,static,"N/A","",3.57,55.32
16,49,0.326282,0.107081,20.000000,False,0,1,static,"N/A","",3.57,58.90
17,52,0.341152,0.107081,20.000000,False,0,1,static,"N/A","",3.59,62.49
18,55,0.311123,0.107081,20.000000,False,0,1,static,"N/A","",3.56,66.07
19,58,0.331764,0.107081,20.000000,False,0,1,static,"N/A","",3.56,69.64
