# --- Attack Parameters ---
# {
#     "attack_type": "spsa",
#     "executable": "./resources/execution_files/liveness_Vit_mnn",
#     "image": "/model_deploy_execution_attack/resources/filtered_images/n003148-0488_01.jpg",
#     "hooks": "/model_deploy_execution_attack/hook_config/liveness_Vit_mnn_hook_config.json",
#     "model": null,
#     "models": "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn",
#     "iterations": 150,
#     "l_inf_norm": 20.0,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.001,
#     "enable_stagnation_decay": true,
#     "learning_rate": 15.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_dynamic_focus": false,
#     "evaluation_window": 10,
#     "boost_weight": 10.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/model_deploy_execution_attack/attack_results/liveness_Vit_mnn_spsa_n003148-0488_01_20250911-215506",
#     "spsa_grad_samples": 32,
#     "spsa_c": 0.1,
#     "spsa_c_gamma": 0.101,
#     "spsa_A": 20.0,
#     "use_signed_grad": false,
#     "use_gradient_normalization": false,
#     "grad_smoothing_samples": 1,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "resize_dim": 0,
#     "attack_y_channel_only": false,
#     "model_paths": [
#         "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,66,0.203586,0.189474,15.000000,False,0,1,static,"N/A","",9.08,10.79
2,131,0.201087,0.189474,15.000000,False,0,1,static,"N/A","",9.32,20.13
3,196,0.200334,0.189474,15.000000,False,0,1,static,"N/A","",9.27,29.41
4,261,0.199847,0.189474,15.000000,False,0,1,static,"N/A","",9.30,38.72
5,326,0.199118,0.189474,15.000000,False,0,1,static,"N/A","",9.26,48.00
6,391,0.198942,0.189474,15.000000,False,0,1,static,"N/A","",9.26,57.27
7,456,0.196772,0.189474,15.000000,False,0,1,static,"N/A","",9.19,66.47
8,521,0.195132,0.189474,15.000000,False,0,1,static,"N/A","",9.21,75.70
9,586,0.191455,0.189474,15.000000,False,0,1,static,"N/A","",9.21,84.92
10,651,0.187734,0.189474,15.000000,False,0,1,static,"N/A","",9.29,94.22
11,716,0.184720,0.187734,15.000000,False,0,1,static,"N/A","",9.18,103.43
12,781,0.180193,0.184720,15.000000,False,0,1,static,"N/A","",9.22,112.68
13,846,0.176888,0.180193,15.000000,False,0,1,static,"N/A","",9.21,121.91
14,911,0.171323,0.176888,15.000000,False,0,1,static,"N/A","",9.18,131.12
15,976,0.167837,0.171323,15.000000,False,0,1,static,"N/A","",9.17,140.32
16,1041,0.163217,0.167837,15.000000,False,0,1,static,"N/A","",9.24,149.58
17,1106,0.161428,0.163217,15.000000,False,0,1,static,"N/A","",9.21,158.81
18,1171,0.162227,0.161428,15.000000,False,0,1,static,"N/A","",9.25,168.09
19,1236,0.162192,0.161428,15.000000,False,0,1,static,"N/A","",9.23,177.32
20,1301,0.161722,0.161428,15.000000,False,0,1,static,"N/A","",9.18,186.51
21,1366,0.164410,0.161428,15.000000,False,0,1,static,"N/A","",9.22,195.74
22,1431,0.164616,0.161428,15.000000,False,0,1,static,"N/A","",9.17,204.93
23,1496,0.164619,0.161428,15.000000,False,0,1,static,"N/A","",9.20,214.15
24,1561,0.164163,0.161428,15.000000,False,0,1,static,"N/A","",9.23,223.38
25,1626,0.163262,0.161428,15.000000,False,0,1,static,"N/A","",9.28,232.68
26,1691,0.164078,0.161428,15.000000,False,0,1,static,"N/A","",9.23,241.93
27,1756,0.163434,0.161428,15.000000,False,0,1,static,"N/A","",9.16,251.10
28,1821,0.163460,0.161428,15.000000,False,0,1,static,"N/A","",9.14,260.25
29,1886,0.163461,0.161428,15.000000,False,0,1,static,"N/A","",9.18,269.44
30,1951,0.162757,0.161428,15.000000,False,0,1,static,"N/A","",9.14,278.59
31,2016,0.165484,0.161428,15.000000,False,0,1,static,"N/A","",9.24,287.84
32,2081,0.164748,0.161428,15.000000,False,0,1,static,"N/A","",9.20,297.06
33,2146,0.164353,0.161428,15.000000,False,0,1,static,"N/A","",9.26,306.33
34,2211,0.162670,0.161428,15.000000,False,0,1,static,"N/A","",9.19,315.53
35,2276,0.162679,0.161428,15.000000,False,0,1,static,"N/A","",9.20,324.74
36,2341,0.160518,0.161428,15.000000,False,0,1,static,"N/A","",9.20,333.95
37,2406,0.161170,0.160518,15.000000,False,0,1,static,"N/A","",9.22,343.19
