# --- Attack Parameters ---
# {
#     "attack_type": "square",
#     "executable": "./resources/execution_files/liveness_Vit_mnn",
#     "image": "/model_deploy_execution_attack/resources/filtered_images/n004301-0430_01.jpg",
#     "hooks": "/model_deploy_execution_attack/hook_config/liveness_Vit_mnn_hook_config.json",
#     "model": null,
#     "models": "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn",
#     "iterations": 1000,
#     "l_inf_norm": 20.0,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.001,
#     "enable_stagnation_decay": true,
#     "learning_rate": 5.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_dynamic_focus": false,
#     "evaluation_window": 10,
#     "boost_weight": 10.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/model_deploy_execution_attack/attack_results/liveness_Vit_mnn_square_n004301-0430_01_20250912-035034",
#     "p_init": 0.5,
#     "model_paths": [
#         "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,2,0.228688,0.059410,5.000000,False,0,1,static,"N/A","",1.68,3.35
2,3,0.103295,0.059410,5.000000,False,0,1,static,"N/A","",1.66,5.02
3,4,0.124668,0.059410,5.000000,False,0,1,static,"N/A","",1.67,6.70
4,5,0.105146,0.059410,5.000000,False,0,1,static,"N/A","",1.66,8.38
5,6,0.108045,0.059410,5.000000,False,0,1,static,"N/A","",1.68,10.07
6,7,0.079308,0.059410,5.000000,False,0,1,static,"N/A","",1.66,11.74
7,8,0.113042,0.059410,5.000000,False,0,1,static,"N/A","",1.67,13.43
8,9,0.124460,0.059410,5.000000,False,0,1,static,"N/A","",1.65,15.10
9,10,0.145248,0.059410,5.000000,False,0,1,static,"N/A","",1.67,16.78
10,11,0.123750,0.059410,5.000000,False,0,1,static,"N/A","",1.66,18.45
11,12,0.160391,0.059410,5.000000,False,0,1,static,"N/A","",1.68,20.15
12,13,0.125420,0.059410,5.000000,False,0,1,static,"N/A","",1.68,21.84
13,14,0.163956,0.059410,5.000000,False,0,1,static,"N/A","",1.67,23.52
14,15,0.157810,0.059410,5.000000,False,0,1,static,"N/A","",1.67,25.20
15,16,0.070958,0.059410,5.000000,False,0,1,static,"N/A","",1.67,26.88
16,17,0.126675,0.059410,5.000000,False,0,1,static,"N/A","",1.69,28.58
17,18,0.141593,0.059410,5.000000,False,0,1,static,"N/A","",1.68,30.27
18,19,0.139712,0.059410,5.000000,False,0,1,static,"N/A","",1.67,31.96
19,20,0.167553,0.059410,5.000000,False,0,1,static,"N/A","",1.67,33.64
20,21,0.155444,0.059410,5.000000,False,0,1,static,"N/A","",1.67,35.32
21,22,0.138763,0.059410,5.000000,False,0,1,static,"N/A","",1.67,37.01
22,23,0.181594,0.059410,5.000000,False,0,1,static,"N/A","",1.68,38.70
23,24,0.149419,0.059410,5.000000,False,0,1,static,"N/A","",1.66,40.38
24,25,0.115305,0.059410,5.000000,False,0,1,static,"N/A","",1.70,42.09
25,26,0.113496,0.059410,5.000000,False,0,1,static,"N/A","",1.67,43.78
26,27,0.193986,0.059410,5.000000,False,0,1,static,"N/A","",1.68,45.47
27,28,0.138808,0.059410,5.000000,False,0,1,static,"N/A","",1.67,47.15
28,29,0.126968,0.059410,5.000000,False,0,1,static,"N/A","",1.67,48.83
29,30,0.143216,0.059410,5.000000,False,0,1,static,"N/A","",1.69,50.54
30,31,0.167094,0.059410,5.000000,False,0,1,static,"N/A","",1.68,52.23
31,32,0.170508,0.059410,5.000000,False,0,1,static,"N/A","",1.70,53.95
32,33,0.159733,0.059410,5.000000,False,0,1,static,"N/A","",1.68,55.64
33,34,0.102545,0.059410,5.000000,False,0,1,static,"N/A","",1.69,57.35
34,35,0.120745,0.059410,5.000000,False,0,1,static,"N/A","",1.67,59.03
35,36,0.151209,0.059410,5.000000,False,0,1,static,"N/A","",1.68,60.72
36,37,0.124040,0.059410,4.850000,False,0,1,static,"N/A","",1.68,62.42
37,38,0.177774,0.059410,4.850000,False,0,1,static,"N/A","",1.68,64.11
38,39,0.147743,0.059410,4.850000,False,0,1,static,"N/A","",1.67,65.79
39,40,0.155603,0.059410,4.850000,False,0,1,static,"N/A","",1.68,67.48
40,41,0.117045,0.059410,4.850000,False,0,1,static,"N/A","",1.67,69.17
41,42,0.129764,0.059410,4.850000,False,0,1,static,"N/A","",1.66,70.84
42,43,0.139789,0.059410,4.850000,False,0,1,static,"N/A","",1.67,72.52
43,44,0.104836,0.059410,4.850000,False,0,1,static,"N/A","",1.67,74.20
44,45,0.141400,0.059410,4.850000,False,0,1,static,"N/A","",1.66,75.88
45,46,0.130980,0.059410,4.850000,False,0,1,static,"N/A","",1.67,77.57
46,47,0.118076,0.059410,4.850000,False,0,1,static,"N/A","",1.67,79.25
47,48,0.128835,0.059410,4.850000,False,0,1,static,"N/A","",1.67,80.93
48,49,0.118649,0.059410,4.850000,False,0,1,static,"N/A","",1.67,82.61
49,50,0.102302,0.059410,4.850000,False,0,1,static,"N/A","",1.68,84.31
50,51,0.118467,0.059410,4.850000,False,0,1,static,"N/A","",1.66,85.98
51,52,0.135968,0.059410,4.850000,False,0,1,static,"N/A","",1.65,87.65
52,53,0.110414,0.059410,4.850000,False,0,1,static,"N/A","",1.67,89.33
53,54,0.123109,0.059410,4.850000,False,0,1,static,"N/A","",1.67,91.01
54,55,0.139702,0.059410,4.850000,False,0,1,static,"N/A","",1.66,92.69
55,56,0.167303,0.059410,4.850000,False,0,1,static,"N/A","",1.67,94.37
56,57,0.143290,0.059410,4.704500,False,0,1,static,"N/A","",1.67,96.05
57,58,0.159168,0.059410,4.704500,False,0,1,static,"N/A","",1.66,97.73
58,59,0.136459,0.059410,4.704500,False,0,1,static,"N/A","",1.67,99.41
59,60,0.137374,0.059410,4.704500,False,0,1,static,"N/A","",1.68,101.10
60,61,0.128820,0.059410,4.704500,False,0,1,static,"N/A","",1.65,102.77
61,62,0.135340,0.059410,4.704500,False,0,1,static,"N/A","",1.67,104.46
62,63,0.122261,0.059410,4.704500,False,0,1,static,"N/A","",1.66,106.14
63,64,0.152518,0.059410,4.704500,False,0,1,static,"N/A","",1.66,107.81
64,65,0.130407,0.059410,4.704500,False,0,1,static,"N/A","",1.66,109.49
65,66,0.119938,0.059410,4.704500,False,0,1,static,"N/A","",1.66,111.17
66,67,0.143405,0.059410,4.704500,False,0,1,static,"N/A","",1.68,112.86
67,68,0.145781,0.059410,4.704500,False,0,1,static,"N/A","",1.66,114.53
68,69,0.114525,0.059410,4.704500,False,0,1,static,"N/A","",1.67,116.21
69,70,0.139537,0.059410,4.704500,False,0,1,static,"N/A","",1.68,117.90
70,71,0.103539,0.059410,4.704500,False,0,1,static,"N/A","",1.66,119.57
71,72,0.133460,0.059410,4.704500,False,0,1,static,"N/A","",1.66,121.24
72,73,0.100640,0.059410,4.704500,False,0,1,static,"N/A","",1.68,122.94
73,74,0.122550,0.059410,4.704500,False,0,1,static,"N/A","",1.66,124.61
74,75,0.132036,0.059410,4.704500,False,0,1,static,"N/A","",1.66,126.28
75,76,0.123063,0.059410,4.704500,False,0,1,static,"N/A","",1.66,127.96
76,77,0.098126,0.059410,4.563365,False,0,1,static,"N/A","",1.66,129.63
77,78,0.158765,0.059410,4.563365,False,0,1,static,"N/A","",1.66,131.31
78,79,0.155986,0.059410,4.563365,False,0,1,static,"N/A","",1.64,132.96
79,80,0.133056,0.059410,4.563365,False,0,1,static,"N/A","",1.65,134.63
80,81,0.123310,0.059410,4.563365,False,0,1,static,"N/A","",1.65,136.29
81,82,0.160903,0.059410,4.563365,False,0,1,static,"N/A","",1.66,137.96
82,83,0.133897,0.059410,4.563365,False,0,1,static,"N/A","",1.66,139.64
83,84,0.095700,0.059410,4.563365,False,0,1,static,"N/A","",1.68,141.34
84,85,0.109466,0.059410,4.563365,False,0,1,static,"N/A","",1.67,143.02
85,86,0.137926,0.059410,4.563365,False,0,1,static,"N/A","",1.67,144.70
86,87,0.111392,0.059410,4.563365,False,0,1,static,"N/A","",1.68,146.40
87,88,0.121633,0.059410,4.563365,False,0,1,static,"N/A","",1.69,148.10
88,89,0.131396,0.059410,4.563365,False,0,1,static,"N/A","",1.68,149.79
89,90,0.125852,0.059410,4.563365,False,0,1,static,"N/A","",1.64,151.45
90,91,0.132061,0.059410,4.563365,False,0,1,static,"N/A","",1.64,153.11
91,92,0.128863,0.059410,4.563365,False,0,1,static,"N/A","",1.65,154.77
92,93,0.105586,0.059410,4.563365,False,0,1,static,"N/A","",1.65,156.43
93,94,0.140710,0.059410,4.563365,False,0,1,static,"N/A","",1.65,158.10
94,95,0.168307,0.059410,4.563365,False,0,1,static,"N/A","",1.65,159.76
95,96,0.137972,0.059410,4.563365,False,0,1,static,"N/A","",1.64,161.41
96,97,0.137941,0.059410,4.426464,False,0,1,static,"N/A","",1.64,163.06
97,98,0.191180,0.059410,4.426464,False,0,1,static,"N/A","",1.64,164.71
98,99,0.128738,0.059410,4.426464,False,0,1,static,"N/A","",1.64,166.36
99,100,0.117352,0.059410,4.426464,False,0,1,static,"N/A","",1.65,168.03
100,101,0.130549,0.059410,4.426464,False,0,1,static,"N/A","",1.64,169.68
101,102,0.125319,0.059410,4.426464,False,0,1,static,"N/A","",1.64,171.34
102,103,0.131543,0.059410,4.426464,False,0,1,static,"N/A","",1.63,172.98
103,104,0.125474,0.059410,4.426464,False,0,1,static,"N/A","",1.65,174.65
104,105,0.136106,0.059410,4.426464,False,0,1,static,"N/A","",1.65,176.31
105,106,0.094481,0.059410,4.426464,False,0,1,static,"N/A","",1.67,177.99
106,107,0.139753,0.059410,4.426464,False,0,1,static,"N/A","",1.67,179.68
107,108,0.133602,0.059410,4.426464,False,0,1,static,"N/A","",1.66,181.36
108,109,0.163126,0.059410,4.426464,False,0,1,static,"N/A","",1.64,183.01
109,110,0.166416,0.059410,4.426464,False,0,1,static,"N/A","",1.66,184.69
110,111,0.137572,0.059410,4.426464,False,0,1,static,"N/A","",1.64,186.35
111,112,0.128787,0.059410,4.426464,False,0,1,static,"N/A","",1.64,188.00
112,113,0.135700,0.059410,4.426464,False,0,1,static,"N/A","",1.65,189.67
113,114,0.080170,0.059410,4.426464,False,0,1,static,"N/A","",1.66,191.35
114,115,0.159971,0.059410,4.426464,False,0,1,static,"N/A","",1.66,193.02
115,116,0.118041,0.059410,4.426464,False,0,1,static,"N/A","",1.67,194.70
116,117,0.122966,0.059410,4.293670,False,0,1,static,"N/A","",1.68,196.40
117,118,0.159101,0.059410,4.293670,False,0,1,static,"N/A","",1.66,198.07
118,119,0.137743,0.059410,4.293670,False,0,1,static,"N/A","",1.66,199.75
119,120,0.170369,0.059410,4.293670,False,0,1,static,"N/A","",1.67,201.43
120,121,0.138970,0.059410,4.293670,False,0,1,static,"N/A","",1.67,203.12
121,122,0.136691,0.059410,4.293670,False,0,1,static,"N/A","",1.67,204.80
122,123,0.130832,0.059410,4.293670,False,0,1,static,"N/A","",1.68,206.49
123,124,0.141589,0.059410,4.293670,False,0,1,static,"N/A","",1.69,208.19
124,125,0.129438,0.059410,4.293670,False,0,1,static,"N/A","",1.68,209.89
125,126,0.137928,0.059410,4.293670,False,0,1,static,"N/A","",1.68,211.58
126,127,0.127374,0.059410,4.293670,False,0,1,static,"N/A","",1.67,213.27
127,128,0.141194,0.059410,4.293670,False,0,1,static,"N/A","",1.65,214.94
128,129,0.111251,0.059410,4.293670,False,0,1,static,"N/A","",1.68,216.63
129,130,0.128212,0.059410,4.293670,False,0,1,static,"N/A","",1.68,218.32
130,131,0.144379,0.059410,4.293670,False,0,1,static,"N/A","",1.66,220.00
131,132,0.132498,0.059410,4.293670,False,0,1,static,"N/A","",1.65,221.66
132,133,0.155552,0.059410,4.293670,False,0,1,static,"N/A","",1.67,223.34
133,134,0.142097,0.059410,4.293670,False,0,1,static,"N/A","",1.66,225.02
134,135,0.124374,0.059410,4.293670,False,0,1,static,"N/A","",1.65,226.69
135,136,0.128913,0.059410,4.293670,False,0,1,static,"N/A","",1.64,228.34
136,137,0.132125,0.059410,4.164860,False,0,1,static,"N/A","",1.65,230.01
137,138,0.120021,0.059410,4.164860,False,0,1,static,"N/A","",1.63,231.65
138,139,0.178428,0.059410,4.164860,False,0,1,static,"N/A","",1.65,233.31
139,140,0.129317,0.059410,4.164860,False,0,1,static,"N/A","",1.64,234.97
140,141,0.129563,0.059410,4.164860,False,0,1,static,"N/A","",1.64,236.62
141,142,0.151566,0.059410,4.164860,False,0,1,static,"N/A","",1.65,238.28
142,143,0.135187,0.059410,4.164860,False,0,1,static,"N/A","",1.65,239.94
143,144,0.104810,0.059410,4.164860,False,0,1,static,"N/A","",1.65,241.60
144,145,0.132339,0.059410,4.164860,False,0,1,static,"N/A","",1.64,243.25
145,146,0.133395,0.059410,4.164860,False,0,1,static,"N/A","",1.64,244.91
146,147,0.128840,0.059410,4.164860,False,0,1,static,"N/A","",1.65,246.57
147,148,0.161916,0.059410,4.164860,False,0,1,static,"N/A","",1.65,248.23
148,149,0.142005,0.059410,4.164860,False,0,1,static,"N/A","",1.65,249.89
149,150,0.159535,0.059410,4.164860,False,0,1,static,"N/A","",1.65,251.56
150,151,0.104812,0.059410,4.164860,False,0,1,static,"N/A","",1.65,253.22
151,152,0.139304,0.059410,4.164860,False,0,1,static,"N/A","",1.65,254.88
152,153,0.129765,0.059410,4.164860,False,0,1,static,"N/A","",1.65,256.54
153,154,0.138602,0.059410,4.164860,False,0,1,static,"N/A","",1.66,258.21
154,155,0.141877,0.059410,4.164860,False,0,1,static,"N/A","",1.65,259.88
155,156,0.135663,0.059410,4.164860,False,0,1,static,"N/A","",1.65,261.54
156,157,0.158585,0.059410,4.039914,False,0,1,static,"N/A","",1.65,263.20
