# --- Attack Parameters ---
# {
#     "attack_type": "zosignsgd",
#     "executable": "./resources/execution_files/liveness_Vit_mnn",
#     "image": "/model_deploy_execution_attack/resources/filtered_images/n002206-0003_01.jpg",
#     "hooks": "/model_deploy_execution_attack/hook_config/liveness_Vit_mnn_hook_config.json",
#     "model": null,
#     "models": "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn",
#     "iterations": 100,
#     "l_inf_norm": 20.0,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "enable_stagnation_decay": true,
#     "learning_rate": 5.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_dynamic_focus": false,
#     "evaluation_window": 10,
#     "boost_weight": 10.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/model_deploy_execution_attack/attack_results/liveness_Vit_mnn_zosignsgd_n002206-0003_01_20250911-135003",
#     "num_queries": 100,
#     "fd_eta": 0.15,
#     "model_paths": [
#         "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,103,0.292697,0.259998,5.000000,False,0,1,static,"N/A","",14.53,16.25
2,205,0.223139,0.259998,5.000000,False,0,1,static,"N/A","",14.85,31.11
3,307,0.169572,0.223139,5.000000,False,0,1,static,"N/A","",14.36,45.50
4,409,0.149223,0.169572,5.000000,False,0,1,static,"N/A","",14.58,60.11
5,511,0.149098,0.149223,5.000000,False,0,1,static,"N/A","",14.72,74.85
6,613,0.139088,0.149098,5.000000,False,0,1,static,"N/A","",14.61,89.49
7,715,0.137294,0.139088,5.000000,False,0,1,static,"N/A","",14.57,104.08
8,817,0.129647,0.137294,5.000000,False,0,1,static,"N/A","",14.63,118.74
9,919,0.126971,0.129647,5.000000,False,0,1,static,"N/A","",14.68,133.44
10,1021,0.123621,0.126971,5.000000,False,0,1,static,"N/A","",14.76,148.23
11,1123,0.121239,0.123621,5.000000,False,0,1,static,"N/A","",14.69,162.95
12,1225,0.108394,0.121239,5.000000,False,0,1,static,"N/A","",14.69,177.67
13,1327,0.105945,0.108394,5.000000,False,0,1,static,"N/A","",14.72,192.41
14,1429,0.101921,0.105945,5.000000,False,0,1,static,"N/A","",14.63,207.07
15,1531,0.088794,0.101921,5.000000,False,0,1,static,"N/A","",14.57,221.66
16,1633,0.085472,0.088794,5.000000,False,0,1,static,"N/A","",14.52,236.21
17,1735,0.079766,0.085472,5.000000,False,0,1,static,"N/A","",14.48,250.71
18,1837,0.072042,0.079766,5.000000,False,0,1,static,"N/A","",14.70,265.44
19,1939,0.073912,0.072042,5.000000,False,0,1,static,"N/A","",14.77,280.23
20,2041,0.072690,0.072042,5.000000,False,0,1,static,"N/A","",14.76,295.00
21,2143,0.072464,0.072042,5.000000,False,0,1,static,"N/A","",14.62,309.63
22,2245,0.077471,0.072042,5.000000,False,0,1,static,"N/A","",14.72,324.37
23,2347,0.076605,0.072042,5.000000,False,0,1,static,"N/A","",14.71,339.09
24,2449,0.086469,0.072042,5.000000,False,0,1,static,"N/A","",14.72,353.82
25,2551,0.090123,0.072042,5.000000,False,0,1,static,"N/A","",14.66,368.50
26,2653,0.100767,0.072042,5.000000,False,0,1,static,"N/A","",14.82,383.33
27,2755,0.089856,0.072042,5.000000,False,0,1,static,"N/A","",14.59,397.93
28,2857,0.092404,0.072042,5.000000,False,0,1,static,"N/A","",14.53,412.48
