# --- Attack Parameters ---
# {
#     "executable": "./resources/execution_files/age_googlenet_mnn",
#     "image": "/img_align_celeba/173194.jpg",
#     "hooks": "/model_deploy_execution_attack_for_pipeline/hook_config/age_googlenet_mnn_hook_config.json",
#     "model": [
#         "/model_deploy_execution_attack_for_pipeline/resources/models/age_googlenet.mnn"
#     ],
#     "models": null,
#     "iterations": 100,
#     "learning_rate": 5.0,
#     "l_inf_norm": 30.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/model_deploy_execution_attack_for_pipeline/outputs/age_googlenet_mnn_attack_results/173194_attacked",
#     "model_paths": [
#         "/model_deploy_execution_attack_for_pipeline/resources/models/age_googlenet.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,40.904413,inf,5.000000,False,1,6,scouting,"None","",5.79,6.35
2,403,40.884994,40.904413,5.000000,False,1,6,scouting,"None","",5.88,13.02
3,604,40.864368,40.884994,5.000000,False,1,6,scouting,"None","",5.76,19.57
4,805,40.838048,40.864368,5.000000,False,1,6,scouting,"None","",5.82,26.17
5,1006,40.811331,40.838048,5.000000,False,1,6,scouting,"None","",5.79,32.74
6,1207,40.781906,40.811331,5.000000,False,1,6,scouting,"None","",5.83,39.36
7,1408,40.753396,40.781906,5.000000,False,1,6,scouting,"None","",5.95,46.09
8,1609,40.728423,40.753396,5.000000,False,1,6,scouting,"None","",5.76,52.64
9,1810,40.704040,40.728423,5.000000,False,1,6,scouting,"None","",5.71,59.14
10,2011,40.679955,40.704040,5.000000,False,1,6,scouting,"None","",5.86,65.77
11,2212,47.891514,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.75,72.31
12,2413,47.625360,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.83,78.14
13,2614,47.372653,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.85,83.99
14,2815,47.132775,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.81,89.80
15,3016,46.896651,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.84,95.65
16,3217,46.657185,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.78,101.43
17,3418,46.441457,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.77,107.21
18,3619,46.232535,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.83,113.04
19,3820,46.029351,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.83,118.88
20,4021,45.829442,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.80,124.68
21,4222,45.636034,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.81,130.49
22,4423,45.432737,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.80,136.29
23,4624,45.229593,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.91,142.20
24,4825,45.026368,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.75,147.96
25,5026,44.810284,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.80,153.76
26,5227,44.591475,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.85,159.61
27,5428,44.364871,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.81,165.43
28,5629,44.164776,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.84,171.27
29,5830,43.958273,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.78,177.06
30,6031,43.748616,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.91,182.97
31,6232,43.554065,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.76,188.72
32,6433,43.526704,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.74,194.46
33,6634,43.630552,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.89,200.36
34,6835,43.662394,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.75,206.11
35,7036,43.610940,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.86,211.97
36,7237,43.516695,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.73,217.70
37,7438,43.343489,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.65,223.36
38,7639,43.220391,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.85,229.21
39,7840,43.247340,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.70,234.92
40,8041,43.246208,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.74,240.66
41,8242,43.233260,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.85,246.51
42,8443,43.186045,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.83,252.35
43,8644,43.133251,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.79,258.14
44,8845,43.065983,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.87,264.01
45,9046,42.977002,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.82,269.83
46,9247,43.025179,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.86,275.69
47,9448,42.990404,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.79,281.49
48,9649,42.911050,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.84,287.33
49,9850,42.848232,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.84,293.18
50,10051,42.863678,40.679955,5.000000,False,1,6,focused_fire,"0x233c","",5.82,299.00
51,10252,42.846920,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.79,304.79
52,10453,42.823738,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.86,310.66
53,10654,42.774721,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.76,316.42
54,10855,42.726702,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.86,322.29
55,11056,42.643001,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.80,328.09
56,11257,42.576919,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.89,333.98
57,11458,42.513579,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.78,339.76
58,11659,42.483343,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.77,345.53
59,11860,42.409980,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.88,351.42
60,12061,42.371830,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.88,357.30
61,12262,42.315262,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.81,363.11
62,12463,42.254815,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.79,368.91
63,12664,42.202740,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.79,374.70
64,12865,42.128796,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.76,380.47
65,13066,42.066451,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.80,386.27
66,13267,41.992787,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.86,392.13
67,13468,41.910963,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.89,398.02
68,13669,41.833593,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.73,403.76
69,13870,41.732861,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.74,409.50
70,14071,41.633324,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.84,415.34
71,14272,41.524669,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.80,421.15
72,14473,41.412580,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.84,426.99
73,14674,41.294326,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.86,432.86
74,14875,41.173583,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.82,438.69
75,15076,41.047573,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.85,444.54
76,15277,40.924832,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.73,450.27
77,15478,40.783216,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.77,456.05
78,15679,40.644315,40.679955,4.850000,False,1,6,focused_fire,"0x233c","",5.84,461.88
79,15880,30.513614,40.644315,4.850000,False,2,6,focused_fire,"0x233c","",5.82,468.48
80,16081,30.369807,30.513614,4.850000,False,2,6,focused_fire,"0x233c","",5.80,475.06
81,16282,30.247656,30.369807,4.850000,False,2,6,focused_fire,"0x233c","",5.85,481.70
82,16483,30.164265,30.247656,4.850000,False,2,6,focused_fire,"0x233c","",5.87,488.36
83,16684,30.105146,30.164265,4.850000,False,3,6,focused_fire,"0x233c","",5.82,494.96
84,16885,30.067229,30.105146,4.850000,False,3,6,focused_fire,"0x233c","",5.73,501.46
85,17086,30.041590,30.067229,4.850000,False,3,6,focused_fire,"0x233c","",5.77,508.01
86,17287,30.018261,30.041590,4.850000,False,3,6,scouting,"None","",5.81,514.60
87,17488,30.030323,30.018261,4.850000,False,3,6,scouting,"None","",5.84,521.22
88,17689,30.041938,30.018261,4.850000,False,2,6,scouting,"None","",5.78,527.01
89,17890,30.056438,30.018261,4.850000,False,2,6,scouting,"None","",5.78,532.79
90,18091,30.070087,30.018261,4.850000,False,2,6,scouting,"None","",5.82,538.61
91,18292,30.087613,30.018261,4.850000,False,2,6,scouting,"None","",5.77,544.38
92,18493,30.110933,30.018261,4.850000,False,2,6,scouting,"None","",5.83,550.21
93,18694,30.137403,30.018261,4.850000,False,2,6,scouting,"None","",5.86,556.08
94,18895,30.156953,30.018261,4.850000,False,2,6,scouting,"None","",5.78,561.87
95,19096,60.157094,30.018261,4.850000,False,1,6,scouting,"None","",5.84,567.71
96,19297,60.162683,30.018261,4.850000,False,1,6,scouting,"None","",5.75,573.47
97,19498,60.154416,30.018261,4.850000,False,1,6,scouting,"None","",5.85,579.32
98,19699,30.153043,30.018261,4.850000,False,2,6,scouting,"None","",5.78,585.10
99,19900,30.135883,30.018261,4.850000,False,2,6,scouting,"None","",5.76,590.87
100,20101,30.107831,30.018261,4.850000,False,2,6,scouting,"None","{"0x2318": {"loss": 10.0, "satisfied": false}, "0x2324": {"loss": 10.0, "satisfied": false}, "0x233c": {"loss": 0.033444, "satisfied": false}, "0x2348": {"loss": 10.0, "satisfied": false}, "0x2358": {"loss": 0.0025, "satisfied": true}, "0x2364": {"loss": 0.0, "satisfied": true}}",5.78,596.64
