# --- Attack Parameters ---
# {
#     "executable": "/temp/resources/execution_files/emotion_ferplus_mnn",
#     "image": "/img_align_celeba/047557.jpg",
#     "hooks": "/temp/hook_config/emotion_ferplus_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/emotion_ferplus.mnn"
#     ],
#     "models": null,
#     "iterations": 200,
#     "learning_rate": 2.0,
#     "l_inf_norm": 16.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/emotion_ferplus_mnn_attack_results/047557_attacked",
#     "model_paths": [
#         "/temp/resources/models/emotion_ferplus.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,10.608991,inf,2.000000,False,0,2,scouting,"None","",5.91,6.43
2,403,10.587286,10.608991,2.000000,False,0,2,scouting,"None","",5.75,12.87
3,604,10.558236,10.587286,2.000000,False,0,2,scouting,"None","",5.74,19.33
4,805,10.506284,10.558236,2.000000,False,0,2,scouting,"None","",5.73,25.76
5,1006,10.447963,10.506284,2.000000,False,0,2,scouting,"None","",5.82,32.28
6,1207,10.379295,10.447963,2.000000,False,0,2,scouting,"None","",5.68,38.65
7,1408,10.290008,10.379295,2.000000,False,0,2,scouting,"None","",5.75,45.09
8,1609,10.207551,10.290008,2.000000,False,0,2,scouting,"None","",5.86,51.65
9,1810,10.136602,10.207551,2.000000,False,0,2,scouting,"None","",5.77,58.13
10,2011,0.386168,10.136602,2.000000,False,0,2,scouting,"None","",5.83,64.67
11,2212,3.168615,0.386168,2.000000,False,1,2,focused_fire,"0x222c;0x2244","",5.75,71.13
12,2413,2.492134,0.386168,2.000000,False,1,2,focused_fire,"0x222c;0x2244","",5.78,76.92
13,2614,1.837107,0.386168,2.000000,False,1,2,focused_fire,"0x222c;0x2244","",5.86,82.78
14,2815,1.191464,0.386168,2.000000,False,1,2,focused_fire,"0x2244","",5.76,88.54
15,3016,0.683322,0.386168,2.000000,False,1,2,focused_fire,"0x2244","",5.85,94.40
16,3217,0.380007,0.386168,2.000000,True,1,2,focused_fire,"0x2244","{"0x222c": {"loss": 0.0, "satisfied": true}, "0x2244": {"loss": 0.031667, "satisfied": false}}",5.92,100.31
