# --- Attack Parameters ---
# {
#     "executable": "/temp/resources/execution_files/gender_googlenet_mnn",
#     "image": "/img_align_celeba/058477.jpg",
#     "hooks": "/temp/hook_config/gender_googlenet_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/gender_googlenet.mnn"
#     ],
#     "models": null,
#     "iterations": 200,
#     "learning_rate": 2.0,
#     "l_inf_norm": 16.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/gender_googlenet_mnn_attack_results/058477_attacked",
#     "model_paths": [
#         "/temp/resources/models/gender_googlenet.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,40.616308,inf,2.000000,False,1,6,scouting,"None","",5.65,6.16
2,403,40.560149,40.616308,2.000000,False,1,6,scouting,"None","",5.77,12.62
3,604,40.501886,40.560149,2.000000,False,1,6,scouting,"None","",5.51,18.81
4,805,40.439715,40.501886,2.000000,False,1,6,scouting,"None","",5.72,25.21
5,1006,40.378201,40.439715,2.000000,False,1,6,scouting,"None","",5.64,31.54
6,1207,40.312816,40.378201,2.000000,False,1,6,scouting,"None","",5.69,37.91
7,1408,40.247867,40.312816,2.000000,False,1,6,scouting,"None","",5.75,44.34
8,1609,40.185931,40.247867,2.000000,False,1,6,scouting,"None","",5.75,50.79
9,1810,40.130137,40.185931,2.000000,False,1,6,scouting,"None","",5.58,57.06
10,2011,40.076535,40.130137,2.000000,False,1,6,scouting,"None","",5.59,63.35
11,2212,30.548596,40.076535,2.000000,False,1,6,focused_fire,"0x2054","",5.57,69.61
12,2413,30.223205,30.548596,2.000000,False,2,6,focused_fire,"0x2054","",5.62,75.91
13,2614,30.201954,30.223205,2.000000,False,2,6,focused_fire,"0x2054","",5.69,82.28
14,2815,30.180957,30.201954,2.000000,False,2,6,focused_fire,"0x2054","",5.61,88.57
15,3016,30.163432,30.180957,2.000000,False,2,6,scouting,"None","",5.64,94.90
16,3217,30.145590,30.163432,2.000000,False,2,6,scouting,"None","",5.63,101.24
17,3418,30.131044,30.145590,2.000000,False,2,6,scouting,"None","",5.59,107.52
18,3619,30.115639,30.131044,2.000000,False,2,6,scouting,"None","",5.63,113.84
19,3820,30.102896,30.115639,2.000000,False,2,6,scouting,"None","",5.48,120.01
20,4021,30.088894,30.102896,2.000000,False,2,6,scouting,"None","",5.65,126.34
21,4222,30.077035,30.088894,2.000000,False,2,6,scouting,"None","",5.69,132.71
22,4423,30.065202,30.077035,2.000000,False,2,6,scouting,"None","",5.61,139.00
23,4624,30.055064,30.065202,2.000000,True,2,6,scouting,"None","{"0x2034": {"loss": 10.0, "satisfied": false}, "0x2040": {"loss": 10.0, "satisfied": false}, "0x2054": {"loss": 0.0, "satisfied": true}, "0x2060": {"loss": 10.0, "satisfied": false}, "0x2070": {"loss": 0.0025, "satisfied": true}, "0x2084": {"loss": 0.047564, "satisfied": false}}",5.63,145.32
