# --- Attack Parameters ---
# {
#     "executable": "/temp/resources/execution_files/ssrnet_age_mnn",
#     "image": "/img_align_celeba/195363.jpg",
#     "hooks": "/temp/hook_config/ssrnet_age_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/ssrnet_age.mnn"
#     ],
#     "models": null,
#     "iterations": 200,
#     "learning_rate": 2.0,
#     "l_inf_norm": 16.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/ssrnet_age_mnn_attack_results/195363_attacked",
#     "model_paths": [
#         "/temp/resources/models/ssrnet_age.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,30.929745,inf,2.000000,False,0,2,scouting,"None","",4.31,4.71
2,403,29.378350,30.929745,2.000000,False,0,2,scouting,"None","",4.34,9.49
3,604,27.740441,29.378350,2.000000,False,0,2,scouting,"None","",4.26,14.19
4,805,25.984444,27.740441,2.000000,False,0,2,scouting,"None","",4.26,18.90
5,1006,23.426823,25.984444,2.000000,False,0,2,scouting,"None","",4.31,23.66
6,1207,21.185914,23.426823,2.000000,False,0,2,scouting,"None","",4.28,28.38
7,1408,19.252137,21.185914,2.000000,False,0,2,scouting,"None","",4.23,33.05
8,1609,16.861623,19.252137,2.000000,False,0,2,scouting,"None","",4.30,37.79
9,1810,14.886609,16.861623,2.000000,False,0,2,scouting,"None","",4.30,42.54
10,2011,13.167161,14.886609,2.000000,False,0,2,scouting,"None","",4.27,47.24
11,2212,25.284830,13.167161,2.000000,False,0,2,focused_fire,"0x1ff0","",4.32,52.02
12,2413,0.000000,13.167161,2.000000,True,2,2,focused_fire,"0x1ff0","{"0x1ff0": {"loss": 0.0, "satisfied": true}, "0x2004": {"loss": 0.0, "satisfied": true}}",4.27,56.29
