# --- Attack Parameters ---
# {
#     "executable": "./resources/execution_files/age_googlenet_mnn",
#     "image": "/img_align_celeba/044738.jpg",
#     "hooks": "/temp/hook_config/age_googlenet_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/age_googlenet.mnn"
#     ],
#     "models": null,
#     "iterations": 100,
#     "learning_rate": 5.0,
#     "l_inf_norm": 30.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/age_googlenet_mnn_attack_results/044738_attacked",
#     "model_paths": [
#         "/temp/resources/models/age_googlenet.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,40.592257,inf,5.000000,False,1,6,scouting,"None","",5.67,6.24
2,403,40.559478,40.592257,5.000000,False,1,6,scouting,"None","",5.85,12.87
3,604,40.532195,40.559478,5.000000,False,1,6,scouting,"None","",5.78,19.43
4,805,40.506683,40.532195,5.000000,False,1,6,scouting,"None","",5.77,25.98
5,1006,40.482147,40.506683,5.000000,False,1,6,scouting,"None","",5.77,32.53
6,1207,40.459572,40.482147,5.000000,False,1,6,scouting,"None","",5.82,39.13
7,1408,40.437962,40.459572,5.000000,False,1,6,scouting,"None","",5.81,45.71
8,1609,40.416792,40.437962,5.000000,False,1,6,scouting,"None","",5.79,52.29
9,1810,40.398166,40.416792,5.000000,False,1,6,scouting,"None","",5.79,58.85
10,2011,40.381003,40.398166,5.000000,False,1,6,scouting,"None","",5.82,65.45
11,2212,44.375842,40.381003,5.000000,False,1,6,focused_fire,"0x233c","",5.75,71.97
12,2413,44.190973,40.381003,5.000000,False,1,6,focused_fire,"0x233c","",5.74,77.72
13,2614,44.024310,40.381003,5.000000,False,1,6,focused_fire,"0x233c","",5.77,83.49
14,2815,43.858828,40.381003,5.000000,False,1,6,focused_fire,"0x233c","",5.77,89.26
15,3016,43.703902,40.381003,5.000000,False,1,6,focused_fire,"0x233c","",5.81,95.07
16,3217,43.556975,40.381003,5.000000,False,1,6,focused_fire,"0x233c","",5.72,100.79
17,3418,43.429895,40.381003,5.000000,False,1,6,focused_fire,"0x233c","",5.82,106.61
18,3619,43.305566,40.381003,5.000000,False,1,6,focused_fire,"0x233c","",5.87,112.48
