iteration,total_queries,loss,iter_time_s,total_time_s
1,202,70.873300,4.78,5.23
2,403,69.807340,4.73,10.52
3,604,67.985494,4.66,15.73
4,805,67.332838,4.66,20.94
5,1006,65.918428,4.65,26.13
6,1207,140.868296,4.64,31.33
7,1408,159.846057,4.62,35.95
8,1609,131.924807,4.67,40.62
9,1810,127.569300,4.65,45.27
10,2011,124.084368,4.80,50.07
11,2212,149.464274,4.78,54.85
12,2413,118.099795,4.65,59.50
13,2614,114.447481,4.71,64.22
14,2815,110.787112,4.73,68.96
15,3016,106.894656,4.69,73.65
16,3217,103.337580,4.70,78.35
17,3418,134.128573,4.75,83.10
18,3619,97.340316,4.69,87.79
19,3820,94.790812,4.59,92.39
20,4021,93.141295,4.71,97.10
21,4222,88.495898,4.60,101.70
22,4423,126.447230,4.72,106.42
23,4624,83.740603,4.71,111.14
24,4825,81.805980,4.63,115.77
25,5026,129.365244,4.65,120.43
26,5227,77.129397,4.67,125.10
27,5428,75.705844,4.75,129.85
28,5629,120.053004,4.67,134.52
29,5830,71.411780,4.67,139.19
30,6031,67.780158,4.67,143.86
31,6232,65.563586,4.66,148.53
32,6433,63.806666,4.66,153.73
33,6634,59.974966,4.66,158.95
34,6835,57.124507,4.72,164.22
35,7036,54.126955,4.69,169.44
36,7237,50.544886,4.68,174.67
37,7438,30.267995,4.68,179.89
38,7639,30.268630,4.70,185.14
39,7840,30.256800,4.76,189.91
40,8041,30.250223,4.72,195.18
41,8242,30.226234,4.78,200.51
42,8443,30.206755,4.74,205.80
43,8644,30.177961,4.71,211.06
44,8845,30.161366,4.71,216.33
45,9046,30.807335,4.79,221.66
46,9247,30.693512,4.73,226.40
47,9448,30.515906,4.74,231.14
48,9649,30.419245,4.82,235.97
49,9850,30.366360,4.74,240.70
50,10051,30.338805,4.70,245.41
51,10252,30.318875,4.77,250.18
52,10453,30.262219,4.76,254.94
53,10654,146.184820,4.78,259.72
54,10855,30.195270,4.74,264.47
55,11056,30.143486,4.71,269.18
56,11257,30.135084,4.69,274.41
57,11458,30.094789,4.71,279.67
58,11659,120.268352,4.72,284.94
59,11860,120.542730,4.73,289.68
60,12061,20.820345,4.90,294.58
61,12262,20.796702,4.82,299.98
62,12463,20.792675,4.85,305.41
63,12664,20.789327,4.83,310.82
64,12865,20.787862,4.83,316.23
65,13066,20.782986,4.83,321.64
66,13267,20.778524,4.71,326.91
67,13468,20.768066,4.68,332.16
68,13669,24.574477,4.70,337.45
69,13870,24.532853,4.82,342.27
70,14071,24.478553,4.86,347.13
71,14272,24.407244,4.78,351.92
72,14473,24.383028,4.73,356.65
73,14674,24.319795,4.79,361.44
74,14875,24.244830,4.84,366.29
75,15076,168.062497,4.81,371.09
76,15277,24.155420,4.73,375.83
77,15478,24.107210,4.83,380.66
78,15679,174.271879,4.74,385.40
79,15880,24.023285,4.86,390.26
80,16081,23.980340,4.81,395.08
81,16282,23.961580,4.80,399.88
82,16483,80.030013,4.88,404.76
83,16684,140.302570,4.76,409.52
84,16885,23.910864,4.77,414.30
85,17086,23.888578,4.79,419.09
86,17287,23.853386,4.86,423.96
87,17488,23.826584,4.83,428.78
88,17689,23.791261,4.74,433.53
89,17890,23.772968,4.84,438.36
90,18091,23.748721,4.77,443.14
91,18292,23.734344,4.88,448.02
92,18493,23.714794,4.77,452.79
93,18694,23.702821,4.77,457.56
94,18895,23.696865,4.83,462.39
95,19096,23.683580,4.76,467.15
96,19297,23.665644,4.84,472.00
97,19498,23.644339,4.84,476.84
98,19699,23.623000,4.81,481.65
99,19900,23.607800,4.77,486.43
100,20101,23.584111,4.75,491.18
101,20302,169.493203,4.78,495.97
102,20503,23.546048,4.80,500.77
103,20704,23.536772,4.84,505.62
104,20905,173.170344,4.81,510.42
105,21106,23.511188,4.78,515.20
106,21307,23.466995,4.80,520.01
107,21508,23.462115,4.71,524.72
108,21709,23.461713,4.82,529.54
109,21910,23.453255,4.84,534.37
110,22111,23.433380,4.77,539.15
111,22312,23.445813,4.82,543.97
112,22513,23.425875,4.78,548.75
113,22714,23.428250,4.76,553.51
114,22915,23.397754,4.73,558.24
115,23116,23.391043,4.85,563.09
116,23317,23.384922,4.83,567.93
117,23518,23.369198,4.83,572.76
118,23719,23.368994,4.83,577.60
119,23920,23.388330,4.80,582.40
120,24121,23.343602,4.82,587.22
121,24322,23.331036,4.89,592.11
122,24523,23.328436,4.82,596.94
123,24724,23.313003,4.76,601.70
124,24925,23.268605,4.79,606.50
125,25126,23.268019,4.76,611.26
126,25327,23.271643,4.81,616.07
127,25528,23.232392,4.83,620.91
128,25729,23.217927,4.86,625.78
129,25930,23.218510,4.85,630.63
130,26131,23.230468,4.79,635.43
131,26332,23.211102,4.75,640.18
132,26533,140.143668,4.83,645.02
133,26734,23.173187,4.75,649.76
134,26935,23.171469,4.81,654.58
135,27136,23.156947,4.71,659.29
136,27337,23.135850,4.78,664.07
137,27538,23.126204,4.78,668.86
138,27739,23.103727,4.82,673.68
