iteration,total_queries,loss,iter_time_s,total_time_s
1,202,20.884397,4.81,5.26
2,403,20.875498,4.77,10.60
3,604,20.865106,4.81,16.00
4,805,20.858093,4.78,21.35
5,1006,20.850252,4.77,26.69
6,1207,25.109619,4.79,32.05
7,1408,25.079418,4.74,36.80
8,1609,24.987075,4.69,41.49
9,1810,24.954616,4.75,46.24
10,2011,24.918163,4.77,51.01
11,2212,24.877650,4.91,55.92
12,2413,24.840868,4.73,60.66
13,2614,24.806694,4.82,65.48
14,2815,24.761181,4.82,70.29
15,3016,24.732107,4.75,75.05
16,3217,24.691236,4.79,79.84
17,3418,24.648630,4.72,84.57
18,3619,24.605887,4.82,89.39
19,3820,24.564519,4.81,94.20
20,4021,24.523212,4.87,99.07
21,4222,24.478433,4.74,103.81
22,4423,24.428676,4.78,108.59
23,4624,24.389946,4.84,113.44
24,4825,24.348852,4.82,118.26
25,5026,24.305059,4.75,123.01
26,5227,24.258918,4.75,127.76
27,5428,24.222029,4.81,132.57
28,5629,24.180721,4.88,137.45
29,5830,24.127601,4.86,142.32
30,6031,24.087958,4.83,147.15
31,6232,24.043316,4.81,151.97
32,6433,24.006157,4.73,156.70
33,6634,23.956026,4.83,161.53
34,6835,23.920249,4.82,166.35
35,7036,23.876205,4.80,171.16
36,7237,23.841710,4.83,176.00
37,7438,23.795594,4.84,180.84
38,7639,23.764427,4.69,185.53
39,7840,23.718256,4.87,190.40
40,8041,23.678190,4.76,195.17
41,8242,23.637096,4.82,199.99
42,8443,23.596255,4.75,204.74
43,8644,23.563271,4.74,209.49
44,8845,23.536197,4.79,214.28
45,9046,23.497240,4.79,219.07
46,9247,23.461165,4.87,223.94
47,9448,23.433927,4.75,228.69
48,9649,23.384729,4.82,233.51
49,9850,23.359337,4.79,238.31
50,10051,23.328665,4.82,243.13
51,10252,23.295200,4.78,247.91
52,10453,23.264377,4.80,252.72
53,10654,23.228202,4.81,257.53
54,10855,23.189636,4.81,262.34
55,11056,23.160161,4.74,267.09
56,11257,23.125058,4.78,271.87
57,11458,23.072291,4.87,276.73
58,11659,23.049856,4.73,281.47
59,11860,23.011092,4.78,286.25
60,12061,22.992187,4.79,291.05
61,12262,22.965955,4.78,295.83
62,12463,22.941955,4.81,300.65
63,12664,22.914357,4.71,305.36
64,12865,22.892793,4.81,310.17
65,13066,22.858843,4.78,314.95
66,13267,22.833956,4.82,319.78
67,13468,22.788746,4.76,324.54
68,13669,22.771263,4.72,329.26
69,13870,22.735642,4.85,334.11
70,14071,22.700041,4.82,338.93
71,14272,22.671719,4.88,343.81
72,14473,22.629983,4.88,348.69
73,14674,22.615132,4.91,353.61
74,14875,22.589003,4.78,358.39
75,15076,22.557332,4.73,363.12
76,15277,22.535818,4.77,367.89
77,15478,22.515103,4.88,372.77
78,15679,22.473440,4.77,377.55
79,15880,22.442137,4.85,382.40
80,16081,22.426705,4.69,387.10
81,16282,22.398331,4.79,391.88
82,16483,22.373500,4.83,396.72
83,16684,22.341983,4.80,401.52
84,16885,22.321153,4.81,406.32
85,17086,22.295053,4.84,411.17
86,17287,22.268277,4.68,415.86
87,17488,22.227548,4.88,420.74
88,17689,22.207480,4.85,425.58
89,17890,22.180564,4.81,430.39
90,18091,22.162483,4.77,435.17
91,18292,22.136608,4.85,440.03
92,18493,22.632596,4.80,444.83
